 in_star,      iq
       1,     125
       2,     877
       3,     932
       4,     290
       5,     688
       6,     413
       7,     929
       8,     194
       9,     320
      10,     893
      11,     242
      12,     769
      13,     215
      14,     787
      15,     392
      16,     830
      17,     143
      18,     914
      19,     868
      20,     299
      21,     983
      22,     422
      23,     140
      24,     679
       1,     987
       2,     235
       3,     180
       4,     822
       5,     424
       6,     699
       7,     183
       8,     918
       9,     792
      10,     219
      11,     870
      12,     343
      13,     897
      14,     325
      15,     720
      16,     282
      17,     969
      18,     198
      19,     244
      20,     813
      21,     129
      22,     690
      23,     972
      24,     433
