#            band          E0[eV]          Sx[eV]        Vxcl[eV]       Vxcnl[eV]         EHF[eV]
     0.2400000000E+03    0.1193508394E+02   -0.1999849064E+02   -0.1679151620E+02    0.0000000000E+00    0.8728109506E+01
     0.2410000000E+03    0.1198493612E+02   -0.1984069646E+02   -0.1675055236E+02    0.0000000000E+00    0.8894792026E+01
     0.2420000000E+03    0.1198493617E+02   -0.1984069645E+02   -0.1675055236E+02    0.0000000000E+00    0.8894792085E+01
     0.2430000000E+03    0.1201419177E+02   -0.1983259222E+02   -0.1675149108E+02    0.0000000000E+00    0.8933090629E+01
     0.2440000000E+03    0.1201419186E+02   -0.1983259217E+02   -0.1675149107E+02    0.0000000000E+00    0.8933090747E+01
     0.2450000000E+03    0.1203005268E+02   -0.1987246222E+02   -0.1678246933E+02    0.0000000000E+00    0.8940059791E+01
     0.2460000000E+03    0.1203005276E+02   -0.1987246211E+02   -0.1678246928E+02    0.0000000000E+00    0.8940059935E+01
     0.2470000000E+03    0.1205931679E+02   -0.1985491088E+02   -0.1677009353E+02    0.0000000000E+00    0.8974499443E+01
     0.2480000000E+03    0.1206713393E+02   -0.1984396122E+02   -0.1676241557E+02    0.0000000000E+00    0.8985588283E+01
     0.2490000000E+03    0.1206713401E+02   -0.1984396124E+02   -0.1676241561E+02    0.0000000000E+00    0.8985588384E+01
     0.2500000000E+03    0.1206758638E+02   -0.1986001850E+02   -0.1677461486E+02    0.0000000000E+00    0.8982182746E+01
     0.2510000000E+03    0.1206758642E+02   -0.1986001861E+02   -0.1677461495E+02    0.0000000000E+00    0.8982182764E+01
     0.2520000000E+03    0.1207833220E+02   -0.1981146532E+02   -0.1674960727E+02    0.0000000000E+00    0.9016474151E+01
     0.2530000000E+03    0.1263982823E+02   -0.2050022222E+02   -0.1703525374E+02    0.0000000000E+00    0.9174859745E+01
     0.2540000000E+03    0.1379485200E+02   -0.1964013885E+02   -0.1710530422E+02    0.0000000000E+00    0.1126001738E+02
     0.2550000000E+03    0.1379485205E+02   -0.1964013881E+02   -0.1710530421E+02    0.0000000000E+00    0.1126001745E+02
     0.2560000000E+03    0.1398703549E+02   -0.1978429548E+02   -0.1714512653E+02    0.0000000000E+00    0.1134786654E+02
     0.2570000000E+03    0.1485127998E+02   -0.2139240858E+02   -0.1780225359E+02    0.0000000000E+00    0.1126112499E+02
     0.2580000000E+03    0.1816427960E+02   -0.9112324472E+01   -0.1473725526E+02    0.0000000000E+00    0.2378921038E+02
     0.2590000000E+03    0.1831052286E+02   -0.9130302384E+01   -0.1478965605E+02    0.0000000000E+00    0.2396987652E+02
     0.2600000000E+03    0.1831052291E+02   -0.9130302355E+01   -0.1478965603E+02    0.0000000000E+00    0.2396987659E+02
     0.2610000000E+03    0.1835888145E+02   -0.8995100548E+01   -0.1464552778E+02    0.0000000000E+00    0.2400930867E+02
     0.2620000000E+03    0.1835888145E+02   -0.8995100523E+01   -0.1464552776E+02    0.0000000000E+00    0.2400930869E+02
     0.2630000000E+03    0.1846649651E+02   -0.8768326619E+01   -0.1438870324E+02    0.0000000000E+00    0.2408687314E+02
     0.2640000000E+03    0.1864204834E+02   -0.8298948370E+01   -0.1388621786E+02    0.0000000000E+00    0.2422931783E+02
     0.2650000000E+03    0.1866122222E+02   -0.8230280204E+01   -0.1381661907E+02    0.0000000000E+00    0.2424756109E+02
     0.2660000000E+03    0.1866122226E+02   -0.8230280222E+01   -0.1381661910E+02    0.0000000000E+00    0.2424756113E+02
     0.2670000000E+03    0.1872405394E+02   -0.8100818950E+01   -0.1368790625E+02    0.0000000000E+00    0.2431114124E+02
     0.2680000000E+03    0.1872405396E+02   -0.8100818942E+01   -0.1368790624E+02    0.0000000000E+00    0.2431114126E+02
     0.2690000000E+03    0.1886134040E+02   -0.8668576818E+01   -0.1427186005E+02    0.0000000000E+00    0.2446462364E+02
     0.2700000000E+03    0.1945975286E+02   -0.9359258843E+01   -0.1553739359E+02    0.0000000000E+00    0.2563788761E+02
     0.2710000000E+03    0.1948268563E+02   -0.9367349083E+01   -0.1559740129E+02    0.0000000000E+00    0.2571273784E+02
     0.2720000000E+03    0.1948268568E+02   -0.9367349076E+01   -0.1559740130E+02    0.0000000000E+00    0.2571273791E+02
     0.2730000000E+03    0.1978007741E+02   -0.8492998629E+01   -0.1449918761E+02    0.0000000000E+00    0.2578626640E+02
     0.2740000000E+03    0.1979851654E+02   -0.8338975728E+01   -0.1431481340E+02    0.0000000000E+00    0.2577435421E+02
     0.2750000000E+03    0.1984095999E+02   -0.8214729228E+01   -0.1421427753E+02    0.0000000000E+00    0.2584050829E+02
     0.2760000000E+03    0.1984096003E+02   -0.8214729212E+01   -0.1421427752E+02    0.0000000000E+00    0.2584050834E+02
     0.2770000000E+03    0.1990731117E+02   -0.8175496640E+01   -0.1416633560E+02    0.0000000000E+00    0.2589815012E+02
     0.2780000000E+03    0.1993654451E+02   -0.8177674065E+01   -0.1416654766E+02    0.0000000000E+00    0.2592541811E+02
     0.2790000000E+03    0.1993654453E+02   -0.8177674085E+01   -0.1416654770E+02    0.0000000000E+00    0.2592541815E+02
     0.2800000000E+03    0.1994632722E+02   -0.8178753109E+01   -0.1415119701E+02    0.0000000000E+00    0.2591877111E+02
