#            band          E0[eV]          Sx[eV]        Vxcl[eV]       Vxcnl[eV]         EHF[eV]
     0.1000000000E+01   -0.2319609688E+01   -0.2412748153E+02   -0.1534853411E+02    0.0000000000E+00   -0.1109855711E+02
     0.2000000000E+01    0.2245190525E+01   -0.2217102578E+02   -0.1541109879E+02    0.0000000000E+00   -0.4514736460E+01
     0.3000000000E+01    0.6200256191E+01   -0.2069747347E+02   -0.1565973380E+02    0.0000000000E+00    0.1162516520E+01
     0.4000000000E+01    0.8008160392E+01   -0.2031020103E+02   -0.1599843065E+02    0.0000000000E+00    0.3696390011E+01
     0.5000000000E+01    0.1880194741E+02   -0.8088440912E+01   -0.1419825296E+02    0.0000000000E+00    0.2491175946E+02
     0.6000000000E+01    0.2402240610E+02   -0.7073704280E+01   -0.1471379386E+02    0.0000000000E+00    0.3166249569E+02
     0.7000000000E+01    0.2536031198E+02   -0.7539692199E+01   -0.1613081062E+02    0.0000000000E+00    0.3395143041E+02
     0.8000000000E+01    0.2586531409E+02   -0.7760141003E+01   -0.1614574011E+02    0.0000000000E+00    0.3425091320E+02
