#            band          E0[eV]         EHF[eV]         Eqp[eV]      Eqp-E0[eV]      Sc_Eqp[eV]       Width[eV]      LinEqp[eV]
     0.1000000000E+01    0.3345424032E+00   -0.7482207500E+01   -0.1663055910E+01   -0.1997598313E+01    0.5760870885E+01    0.2415162571E+00   -0.1010828891E+01
     0.2000000000E+01    0.3345424033E+00   -0.7482207582E+01   -0.1663055624E+01   -0.1997598027E+01    0.5760871217E+01    0.2415164342E+00   -0.1010828891E+01
     0.3000000000E+01    0.6607959893E+01    0.1756534382E+01    0.5019439329E+01   -0.1588520564E+01    0.3262155774E+01    0.2398078202E-01    0.4996474989E+01
     0.4000000000E+01    0.6607959893E+01    0.1756534656E+01    0.5019438991E+01   -0.1588520902E+01    0.3262155161E+01    0.2398075476E-01    0.4996474584E+01
     0.5000000000E+01    0.1751083487E+02    0.2323844091E+02    0.1796260407E+02    0.4517692045E+00   -0.5275840568E+01   -0.2718828017E-02    0.1796358671E+02
     0.6000000000E+01    0.1751083487E+02    0.2323844239E+02    0.1796260458E+02    0.4517697137E+00   -0.5275841539E+01   -0.2718826990E-02    0.1796358671E+02
     0.7000000000E+01    0.2920586724E+02    0.3934455228E+02    0.3012128620E+02    0.9154189653E+00   -0.9221305584E+01   -0.2543389679E+00    0.3038021309E+02
     0.8000000000E+01    0.2920586724E+02    0.3934454812E+02    0.3012128412E+02    0.9154168818E+00   -0.9221303570E+01   -0.2543390508E+00    0.3038021309E+02
