#            band          E0[eV]          Sx[eV]        Vxcl[eV]       Vxcnl[eV]         EHF[eV]
     0.1000000000E+01    0.3345424032E+00   -0.2334883613E+02   -0.1553208623E+02    0.0000000000E+00   -0.7482207500E+01
     0.2000000000E+01    0.3345424033E+00   -0.2334883614E+02   -0.1553208615E+02    0.0000000000E+00   -0.7482207582E+01
     0.3000000000E+01    0.6607959893E+01   -0.2066253839E+02   -0.1581111288E+02    0.0000000000E+00    0.1756534382E+01
     0.4000000000E+01    0.6607959893E+01   -0.2066253783E+02   -0.1581111259E+02    0.0000000000E+00    0.1756534656E+01
     0.5000000000E+01    0.1751083487E+02   -0.8001791024E+01   -0.1372939707E+02    0.0000000000E+00    0.2323844091E+02
     0.6000000000E+01    0.1751083487E+02   -0.8001792785E+01   -0.1372940031E+02    0.0000000000E+00    0.2323844239E+02
     0.7000000000E+01    0.2920586724E+02   -0.6818642535E+01   -0.1695732758E+02    0.0000000000E+00    0.3934455228E+02
     0.8000000000E+01    0.2920586724E+02   -0.6818638626E+01   -0.1695731950E+02    0.0000000000E+00    0.3934454812E+02
